Index,Identifier,Semester_Year,Completed_ALL_PRE,Duplicates_PRE,PRE_STARTDATE,PRE_ENDDATE,PRE_TIME,PRE_SCHOOL,PRE_INSTR_UA,PRE_INSTR_STANFORD,PRE_INSTR_VASSAR,PRE_INSTR_AUSTINCC,PRE_INSTR_UIUC,PRE_INSTR_PIMA,PRE_PCCCRS,PRE_Q18,PRE_Q18_complete,PRE_Q18CF,PRE_Q31,PRE_Q31_complete,PRE_Q31CF,PRE_Q15,PRE_Q15_complete,PRE_Q15CF,PRE_Q32,PRE_Q32_complete,PRE_Q32CF,PRE_POP_GRAPH,PRE_Q12,PRE_Q12_complete,PRE_Q12CF,PRE_Q13,PRE_Q13_complete,PRE_Q13CF,PRE_Q14,PRE_Q14_complete,PRE_Q14CF,PST_RECIPE,PRE_Q5,PRE_Q5_complete,PRE_Q5CF,PRE_Q6,PRE_Q6_complete,PRE_Q6CF,PRE_Q7,PRE_Q7_complete,PRE_Q7CF,PRE_TABLE,PRE_Q26,PRE_Q26_complete,PRE_Q26CF,PRE_Q27,PRE_Q27_complete,PRE_Q27CF,PRE_Q23,PRE_Q23_complete,PRE_Q23CF,PRE_Q25,PRE_Q25_complete,PRE_Q25CF,PRE_ERRORGRAPH,PRE_Q29,PRE_Q29_complete,PRE_Q29CF,PRE_Q30,PRE_Q30_complete,PRE_Q30CF,PRE_Q10,PRE_Q10_complete,PRE_Q10CF,PRE_Q11,PRE_Q11_complete,PRE_Q11CF,PRE_Q28,PRE_Q28_complete,PRE_Q28CF,PRE_Q19,PRE_Q19_complete,PRE_Q19CF,PRE_POLL_TEXT,PRE_Q20,PRE_Q20_complete,PRE_Q20CF,PRE_Q21,PRE_Q21_complete,PRE_Q21CF,PRE_Q33,PRE_Q33_complete,PRE_Q33CF,PRE_Q34,PRE_Q34_complete,PRE_Q34CF,PRE_Q35,PRE_Q35_complete,PRE_Q35CF,PRE_Q3,PRE_Q3_complete,PRE_Q3CF,PRE_Q16,PRE_Q16_complete,PRE_Q16CF,PRE_DIFF,PRE_FREQEN,PRE_CALC,PRE_DAILYM,PRE_DAILYG,PRE_ATT_1,PRE_ATT_2,PRE_ATT_3,PRE_ATT_4,PRE_LK1,REV_PRE_LK1,PRE_LK2,REV_PRE_LK2,PRE_LK3,REV_PRE_LK3,PRE_LK3_Duplicate,PRE_LK4,REV_PRE_LK4,PRE_LK5,REV_PRE_LK5,PRE_PREVMT,PRE_MOREMT,PRE_MORESC,PRE_WHYCS_1,PRE_WHYCS_2,PRE_WHYCS_3,PRE_WHYCS_4,PRE_WHYCS_5,PRE_WHYCS_6,PRE_WHYCS_7,PRE_WHYCS_7_TEXT,PRE_YEAR,PRE_YEAR_OTHER_TEXT,PRE_MAJOR_HUM,PRE_MAJOR_ARTS,PRE_MAJOR_SOCSCI,PRE_MAJOR_EDU,PRE_MAJOR_SCI,PRE_MAJOR_EMC,PRE_MAJOR_BUS,PRE_MAJOR_HEALTH,PRE_MAJOR_TRADE,PRE_MAJOR_JOUR,PRE_MAJOR_GEN,PRE_MAJOR_UND,PRE_MAJOR_OTHER,PRE_MAJOR_OTHER_TEXT,PRE_WHYMAJ_1,PRE_WHYMAJ_2,PRE_WHYMAJ_3,PRE_WHYMAJ_4,PRE_WHYMAJ_5,PRE_WHYMAJ_6,PRE_WHYMAJ_7,PRE_WHYMAJ_8,PRE_WHYMAJ_8_TEXT,PRE_AGE,PRE_GENDER,PRE_RACE_AA,PRE_RACE_AS,PRE_RACE_CAUC,PRE_RACE_HIS,PRE_RACE_NA,PRE_RACE_OTHER,PRE_RACE_OTHER_TEXT,PRE_RACE_PNTS,PRE_DIS_PHYS,PRE_DIS_PHYS_TEXT,PRE_DIS_COG,PRE_DIS_COG_TEXT,PRE_DIS_LEARN,PRE_DIS_LEARN_TEXT,PRE_DIS_Prefer_Not_Say,PRE_HSUS,PRE_ELEM_WHERE,PRE_MIDDLE_WHERE,PRE_HS_WHERE,PRE_EFFORT,PRE_Q31_scored,PRE_Q15_scored,PRE_Q32_scored,PRE_Q12_scored,PRE_Q13_scored,PRE_Q14_scored,PRE_Q5_scored,PRE_Q6_scored,PRE_Q7_scored,PRE_Q26_scored,PRE_Q27_scored,PRE_Q23_scored,PRE_Q29_scored,PRE_Q30_scored,PRE_Q10_scored,PRE_Q11_scored,PRE_Q28_scored,PRE_Q19_scored,PRE_Q20_scored,PRE_Q21_scored,PRE_Q33_scored,PRE_Q34_scored,PRE_Q35_scored,PRE_Q3_scored,PRE_Q16_scored,PRE_SCORE,PRE_Compete_total_percent,PRE_CF_Total,PRE_CF_Mean,PRE_AGE_NEW,PRE_DIFF_REV,PRE_ATT_1_REV,PRE_ATT_2_REV,PRE_ATT_3_REV,PRE_ATT_4_REV,FAC1_1,FAC2_1,FAC3_1,ZPR_1,ZRE_1,STEM_MAJOR,WHYCS_COMP,MAJOR_COMP,WHYMAJ_COMP,RACE_COMP,DIS_COMP
1,STUDENT 1,3,1,0,3/21/16 0:38,3/21/16 1:50,72,1,12,999,999,999,999,999,999,999,0,999,3,1,4,3,1,4,4,1,4,1,3,1,3,2,1,4,4,1,4,1,2,1,4,3,1,4,4,1,4,1,2,1,4,3,1,4,4,1,4,999,0,999,1,1,1,3,1,1,4,2,1,4,1,1,4,2,1,4,2,1,4,1,1,1,4,2,1,4,3,1,4,4,1,4,3,1,4,2,1,4,2,1,4,1,2,2,3,1,1,1,1,1,1,4,2,3,2,3,999,2,3,2,3,2,3,3,0,0,1,1,0,0,1,I needed units,1,999,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,1,0,0,0,1,1,0,999,2,1,0,0,1,0,0,0,999,0,0,999,0,999,1,999,0,1,999,999,999,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,22,1,98,3.92,2,5,4,4,4,4,1.23031293,0.390277493,-1.111699014,2.091988919,0.044178159,1,3,1,4,1,1
2,STUDENT 2,3,1,0,3/24/16 16:32,3/24/16 22:29,357,1,11,999,999,999,999,999,999,999,0,999,3,1,3,3,1,3,4,1,3,1,3,1,3,1,1,3,4,1,3,1,2,1,4,3,1,3,4,1,2,1,2,1,4,3,1,3,4,1,3,999,0,999,1,1,1,4,2,1,3,2,1,3,2,1,1,2,1,3,2,1,3,1,4,1,4,1,1,2,3,1,4,4,1,4,3,1,3,2,1,4,2,1,3,3,1,5,1,1,4,3,1,2,1,4,1,4,1,4,999,4,1,1,4,1,1,3,0,0,0,0,1,0,0,999,1,999,0,1,0,1,0,0,0,0,0,0,0,0,0,999,1,0,0,1,1,0,0,0,999,2,2,0,0,1,0,0,0,999,0,1,999,0,999,0,999,0,1,999,999,999,5,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,21,1,78,3.12,2,3,1,2,4,3,1.432006712,-2.694713933,-0.30159771,1.317175943,0.556674704,0,1,2,3,1,1
3,STUDENT 3,3,1,0,3/22/16 16:28,3/22/16 18:06,98,1,11,999,999,999,999,999,999,999,0,999,3,1,4,3,1,4,4,1,4,1,3,1,4,1,1,4,4,1,4,1,2,1,4,3,1,4,4,1,4,1,1,1,4,3,1,4,1,1,4,999,0,999,1,2,1,4,1,1,4,2,1,4,1,1,4,2,1,4,2,1,4,1,4,1,4,1,1,4,3,1,4,4,1,4,3,1,4,2,1,4,2,1,4,2,3,3,3,2,4,1,2,3,2,3,2,3,2,3,999,2,3,2,3,2,2,1,0,0,0,0,0,0,1,extra credit,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,1,0,999,2,1,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,2,malaysia,USA and Singapore,Singapore and Japa,4,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,21,1,100,4,2,4,1,4,3,2,0.2293407,0.830978905,-2.329951121,0.442741697,1.434463817,0,1,1,1,1,0
4,STUDENT 4,3,1,0,3/20/16 19:40,3/20/16 20:19,39,1,12,999,999,999,999,999,999,999,0,999,3,1,4,3,1,4,4,1,4,1,3,1,4,2,1,4,3,1,4,1,2,1,4,3,1,4,4,1,4,1,2,1,4,2,1,3,2,1,3,999,0,999,1,3,1,4,1,1,3,2,1,4,1,1,4,2,1,4,2,1,4,1,4,1,4,1,1,4,3,1,4,4,1,4,1,1,4,2,1,4,2,1,4,1,3,5,2,2,2,1,2,3,1,4,1,4,2,3,999,1,4,1,4,1,3,2,0,1,1,0,1,1,0,999,1,999,0,0,0,0,1,0,0,0,0,0,0,0,0,999,0,0,1,1,0,0,0,0,999,2,1,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,4,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,21,1,97,3.88,2,5,3,4,3,2,1.599238682,0.298703087,-0.384520513,0.796250189,1.079599049,1,4,1,2,1,0
5,STUDENT 5,3,1,0,3/23/16 2:07,3/23/16 2:58,51,1,11,999,999,999,999,999,999,999,0,999,4,1,2,3,1,3,4,1,4,1,3,1,3,3,1,2,2,1,2,1,2,1,4,3,1,4,4,1,4,1,2,1,4,3,1,4,4,1,4,999,0,999,1,1,1,4,3,1,4,2,1,4,1,1,4,2,1,4,2,1,4,1,4,1,2,1,1,2,3,1,4,4,1,4,3,1,4,2,1,4,2,1,4,3,3,2,3,0,3,3,2,2,2,3,3,2,1,4,999,3,2,3,2,2,3,2,0,0,0,0,0,0,1,999,1,999,0,0,0,0,0,0,0,0,0,0,0,1,0,999,0,0,0,0,0,0,1,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,1,Dislexia,0,1,999,999,999,4,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,20,1,88,3.52,2,3,2,2,3,3,-0.366060132,-0.275126719,-2.279992214,0.035507312,1.577971514,0,1,1,1,1,1
6,STUDENT 6,3,1,0,3/24/16 14:41,3/24/16 15:11,30,1,11,999,999,999,999,999,999,999,0,999,3,1,4,3,1,4,4,1,4,1,3,1,4,2,1,4,3,1,2,1,2,1,2,4,1,2,3,1,3,1,2,1,4,3,1,4,2,1,3,999,0,999,1,3,1,4,4,1,3,2,1,4,1,1,2,2,1,4,3,1,2,1,2,1,3,1,1,3,3,1,4,4,1,4,5,1,4,2,1,4,2,1,4,2,4,5,3,2,2,2,1,3,1,4,1,4,1,4,999,2,3,2,3,2,3,2,0,1,1,1,1,0,0,999,1,999,0,0,1,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,0,0,0,0,999,2,2,0,1,0,0,0,0,999,0,0,999,0,999,0,999,1,2,China,China,U.S,2,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,17,1,85,3.4,2,4,3,3,4,2,1.307519492,0.474098657,-0.243766167,-0.101554837,0.919692248,0,4,1,2,1,1
7,STUDENT 7,3,1,0,3/10/16 12:40,3/10/16 13:14,34,1,12,999,999,999,999,999,999,999,0,999,3,1,2,3,1,4,3,1,2,1,3,1,4,1,1,3,3,1,3,1,2,1,4,3,1,3,5,1,3,1,2,1,3,3,1,3,4,1,3,999,0,999,1,1,1,3,4,1,2,2,1,2,1,1,2,2,1,3,2,1,4,1,2,1,3,1,1,3,2,1,2,4,1,3,3,1,3,2,1,4,2,1,4,3,4,3,2,1,3,2,2,3,2,3,2,3,2,3,999,2,3,3,2,2,1,3,0,1,0,1,0,0,0,999,1,999,0,0,0,0,0,0,0,1,0,0,0,0,0,999,1,1,1,0,0,0,0,0,999,2,2,0,1,0,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,4,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,17,1,75,3,2,3,2,3,3,2,-0.095797254,0.097310736,0.583294385,0.455277781,0.360723278,0,2,1,3,1,0
8,STUDENT 8,3,1,0,3/18/16 14:17,3/18/16 14:51,34,1,12,999,999,999,999,999,999,999,0,999,3,1,3,2,1,4,1,1,4,1,3,1,3,3,1,1,3,1,3,1,2,1,3,3,1,4,2,1,2,1,2,1,4,3,1,4,4,1,3,999,0,999,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,4,2,1,4,1,2,1,3,2,1,4,3,1,4,4,1,4,3,1,4,2,1,3,2,1,4,2,3,3,2,1,3,2,2,2,2,3,2,3,2,3,999,2,3,2,3,1,1,1,0,1,0,0,0,0,0,999,1,999,1,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,0,0,0,0,999,2,2,1,0,1,1,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,4,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,17,1,78,3.12,2,4,2,3,3,3,0.215205311,-0.21009931,-0.919041704,0.384960527,0.431310312,0,1,1,1,3,0
9,STUDENT 9,3,1,0,3/21/16 21:14,3/21/16 22:12,58,1,12,999,999,999,999,999,999,999,0,999,3,1,4,3,1,4,4,1,4,1,3,1,3,2,1,3,1,1,2,1,2,1,3,3,1,3,5,1,3,1,2,1,3,1,1,3,3,1,3,999,0,999,1,1,1,2,2,1,1,2,1,4,1,1,3,2,1,3,2,1,3,1,4,1,2,5,1,1,3,1,3,4,1,3,3,1,3,2,1,3,1,1,3,3,1,4,2,1,2,2,3,1,2,3,2,3,2,3,999,2,3,3,2,2,3,3,0,1,0,0,0,0,0,999,1,999,0,0,0,0,0,0,0,0,0,0,0,1,0,999,1,0,0,0,0,0,0,0,999,2,2,0,0,1,0,0,0,999,0,0,999,0,999,0,999,0,1,999,999,999,4,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,17,1,72,2.88,2,3,3,3,2,4,-0.043431128,-0.428839745,-0.902903114,0.064423872,0.753076743,0,1,1,1,1,0
10,STUDENT 10,3,1,0,3/21/16 5:12,3/21/16 5:48,36,1,12,999,999,999,999,999,999,999,0,999,3,1,4,3,1,4,4,1,4,1,3,1,4,2,1,4,3,1,2,1,2,1,2,2,1,2,2,1,3,1,3,1,3,2,1,3,4,1,2,999,0,999,1,1,1,4,4,1,4,2,1,2,2,1,2,4,1,3,2,1,4,1,4,1,4,1,1,4,3,1,4,4,1,4,3,1,4,2,1,4,2,1,3,2,1,5,2,2,1,2,3,2,1,4,1,4,999,999,999,1,4,1,4,1,3,2,0,0,1,1,0,0,0,999,1,999,0,0,0,0,0,0,0,0,0,0,0,1,0,999,0,0,0,0,0,0,1,0,999,2,1,0,1,0,0,0,0,999,0,0,999,0,999,0,999,1,2,China,China,China,4,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,16,1,83,3.32,2,4,4,3,2,3,1.37207531,-0.110844725,-2.600678915,0.393416061,0.157533248,0,2,1,1,1,1
