No,ID,ASAS_ID_V,ASAS_ID_I,2MASS_ID,RAd,DEC,V,I,V-I,J,J-H,H-K,Type,Period,V_amp,I_amp
1,183952+4323.1,183952+4323.1,183953+4323.2,18395228+4323084,279.96787,43.38568,12.847,12.417,0.43,12.163,0.173,0.094,EW,0.474549,0.57,0.49
2,184321+4734.7,184321+4734.7,184321+4734.7,18432105+4734443,280.83771,47.57899,12.768,12.388,0.38,12.069,0.137,0.021,EA,0.73455,0.3,0.28
3,184347+4732.0,184347+4732.0,184347+4732.0,18434689+4731568,280.9454,47.53245,11.9,9.461,2.439,7.999,0.908,0.232,APER,N/A,0.37,0.17
4,184356+4715.0,184356+4715.0,184356+4715.0,18435607+4715051,280.98364,47.25142,14,13.075,0.925,12.328,0.561,0.09,PER,0.293484,0.18,0.06
5,184408+4426.8,184408+4426.8,184408+4426.8,18440812+4426509,281.03385,44.44747,10.415,9.764,0.651,9.378,0.216,0.079,PER,0.295512,0.02,0
6,184510+4338.1,184510+4338.1,184510+4338.2,18451016+4338076,281.29237,43.63546,13.095,7.962,5.133,4.432,1.321,0.894,MIRA,502,4.7,2.45
7,184518+4240.1,184518+4240.1,184518+4240.2,18451772+4240120,281.32386,42.67001,13.213,12.701,0.512,12.276,0.221,0.02,EW/RRC,0.80771,0.41,0.31
8,184555+4707.4,184555+4707.4,184555+4707.4,18455546+4707216,281.4811,47.12268,9.958,9.371,0.587,9.033,0.231,0.011,PER/RRC,0.36878,0.03,0.03
9,184557+4719.1,184557+4719.1,184557+4719.1,18455693+4719095,281.48725,47.31932,12.405,11.416,0.989,10.89,0.506,0.106,EW,0.428349,0.26,0.25
10,184603+4327.5,184603+4327.5,184603+4327.5,18460335+4327318,281.514,43.45884,10.674,8.126,2.548,6.633,0.908,0.248,QPER,41.91,0.4,0.14
11,184608+4400.7,184608+4400.7,noID,18460807+4400361,281.53366,44.01005,8.447,99.999,99.999,4.764,1.06,99.999,QPER/CEP,29.8,0.29,99.99
12,184619+4620.8,184619+4620.8,184619+4620.8,18461880+4620452,281.57835,46.34591,10.665,8.366,2.299,6.742,0.862,0.32,QPER,41.23,0.35,0.64
13,184632+4211.3,184632+4211.3,184632+4211.2,18463202+4211131,281.63346,42.18698,12.635,9.689,2.946,7.792,0.834,0.313,APER,N/A,0.95,0.71
14,184706+4340.6,184706+4340.6,184706+4340.6,18470628+4340344,281.7762,43.67623,11.215,9.958,1.257,9.041,0.58,0.164,QPER/CEP,19.91,0.22,0.2
15,184747+4343.7,184747+4343.7,184746+4343.7,18474640+4343429,281.94335,43.7286,12.967,12.216,0.751,11.601,0.427,0.076,EA,3.6137,0.31,0.51
16,184757+4438.2,184757+4438.2,184757+4438.2,18475721+4438112,281.98838,44.63647,12.953,12.317,0.636,12.035,0.161,0.074,EW,0.7445,0.32,0.34
17,184813+4314.7,184813+4314.7,184813+4314.7,18481310+4314419,282.05462,43.24498,12.287,9.384,2.903,7.552,0.88,0.284,APER,N/A,1.28,1.5
18,184844+4342.4,184844+4342.4,184844+4342.4,18484398+4342229,282.18327,43.70639,12.262,11.752,0.51,11.399,0.184,0.09,EA,0.58074,0.23,0.49
19,184911+4317.0,184911+4317.0,184910+4317.1,BLEND,282.2937,43.2842,13.241,12.647,0.594,99.999,99.999,99.999,EW/EA,0.91159,0.42,0.35
20,184924+4714.1,184924+4714.1,noID,18492384+4713597,282.34935,47.23327,12.435,99.999,99.999,12.345,0.182,0.06,PER/RRC,0.278397,0.43,99.99
21,184943+4429.3,184943+4429.3,184943+4429.3,18494306+4429167,282.42945,44.48798,11.774,9.714,2.06,8.399,0.888,0.2,QPER,46.39,0.41,0.18
22,185000+4719.8,185000+4719.8,184959+4719.9,18495972+4719509,282.49884,47.33082,13.733,13.131,0.602,12.564,0.262,0.029,EW,0.50798,0.42,0.53
23,185034+4256.8,185034+4256.8,185034+4256.8,18503405+4256469,282.64189,42.94637,11.593,10.964,0.629,10.609,0.268,0.048,EW,0.347108,0.13,0.12
24,185038+4125.4,185038+4125.4,185038+4125.4,18503773+4125257,282.65721,41.42381,13.501,12.871,0.63,12.675,0.296,0.052,RRAB,0.488134,0.56,0.42
25,185038+4326.7,185038+4326.7,185038+4326.7,18503790+4326415,282.65793,43.44487,11.32,10.288,1.032,9.564,0.436,0.165,PER,2.4228,0.04,0.04
26,185052+4340.2,185052+4340.2,185052+4340.3,18505237+4340120,282.71821,43.67002,13.404,12.174,1.23,11.549,0.589,0.089,EW,0.242911,0.63,0.68
27,185058+4124.0,185058+4124.0,noID,18505795+4123574,282.74149,41.3993,11.486,99.999,99.999,5.263,1.026,0.381,APER,N/A,0.61,99.99
28,185126+4054.6,185126+4054.6,185126+4054.6,18512617+4054351,282.85906,40.90978,14.715,8.568,6.147,6.702,0.9,0.421,MIRA,391,4.17,2.2
29,185126+4616.9,185126+4616.9,185126+4617.0,18512621+4616574,282.85924,46.28263,13.139,8.543,4.596,5.683,0.855,0.402,QPER,155.6,1.12,0.67
30,185130+4854.7,185130+4854.7,185130+4854.8,18513012+4854429,282.87553,48.91193,9.82,7.563,2.257,5.819,0.68,0.397,MIRA,396,6.16,3.84
31,185157+4524.4,185157+4524.4,185157+4524.4,BLEND,282.9875,45.4067,14.016,13.229,0.787,99.999,99.999,99.999,EW,0.6271,0.53,0.46
32,185211+4748.3,185211+4748.3,185211+4748.3,18521048+4748166,283.0437,47.80463,12.794,12.381,0.413,11.969,0.186,0.078,EA,1.802,0.24,0.35
33,185231+4133.2,noID,185231+4133.2,18523130+4133116,283.13045,41.55324,99.999,11.635,99.999,9.536,0.95,0.284,APER,N/A,99.99,0.35
34,185248+4239.8,185248+4239.8,noID,18524849+4239482,283.20207,42.66339,9.406,99.999,99.999,6.244,0.738,0.249,QPER,53.9,0.12,99.99
35,185302+4250.7,185302+4250.7,185302+4250.7,BLEND,283.2583,42.845,11.993,11.345,0.648,99.999,99.999,99.999,EB/EW,0.384683,0.31,0.52
36,185326+4309.3,185326+4309.3,185326+4309.3,18532590+4309164,283.35794,43.15457,14.437,13.855,0.582,13.476,0.265,0.097,RRAB,0.473658,1.14,0.54
37,185333+4105.6,185333+4105.6,185333+4105.6,18533323+4105365,283.38849,41.09349,12.353,10.001,2.352,8.536,0.878,0.265,QPER,28.83,0.44,0.2
38,185334+4526.8,185334+4526.8,185334+4526.8,18533383+4526518,283.39097,45.44774,13.466,9.077,4.389,6.5,0.906,0.386,QPER,65,0.77,0.51
39,185340+4038.0,185340+4038.0,185340+4037.9,BLEND,283.4167,40.6325,14.119,13.459,0.66,99.999,99.999,99.999,EW,0.389558,0.59,0.37
40,185341+4641.2,185341+4641.2,noID,18534084+4641095,283.42018,46.68599,11.576,99.999,99.999,4.819,1.072,0.607,QPER,148.3,0.93,99.99
41,185344+4018.2,185344+4018.2,185344+4018.2,18534372+4018151,283.43218,40.30419,13.866,9.482,4.384,6.863,0.81,0.485,MIRA,282,4.78,2.49
42,185412+4348.2,185412+4348.2,185412+4348.2,18541234+4348091,283.55143,43.80255,10.658,8.034,2.624,6.515,0.884,0.261,QPER,65.4,0.28,0.18
43,185442+4340.5,185442+4340.5,185443+4340.4,18544224+4340253,283.67604,43.67372,13.671,12.767,0.904,12.074,0.466,0.086,PER/EW,0.225427,0.24,0.05
44,185446+4930.0,185446+4930.0,185445+4930.0,18544560+4929585,283.69003,49.49958,13.098,10.555,2.543,8.989,0.892,0.272,APER,N/A,0.81,0.24
45,185451+4014.1,185451+4014.1,185451+4014.1,18545075+4014093,283.71148,40.23592,12.817,12.056,0.761,11.68,0.377,0.09,EW,0.6963,0.34,0.32
46,185518+4046.8,185518+4046.8,185518+4046.8,18551766+4046476,283.82359,40.77989,11.774,8.17,3.604,6.159,0.889,0.34,QPER,57.7,0.71,0.38
47,185524+4307.3,185524+4307.3,185524+4307.4,18552416+4307227,283.8507,43.12297,14.385,13.138,1.247,12.229,0.538,0.12,EA/EW,0.352591,1.21,0.87
